Time,Pressure
4.2719956E+02,9.5041817E+02
4.2820014E+02,9.5068932E+02
4.2920072E+02,9.5096367E+02
4.3020129E+02,9.5124748E+02
4.3120187E+02,9.5152390E+02
4.3220244E+02,9.5181473E+02
4.3320302E+02,9.5209961E+02
4.3420360E+02,9.5238663E+02
4.3520418E+02,9.5264954E+02
4.3620475E+02,9.5291359E+02
4.3720533E+02,9.5317696E+02
4.3820590E+02,9.5344742E+02
4.3920648E+02,9.5371964E+02
4.4020706E+02,9.5399933E+02
4.4120763E+02,9.5428795E+02
4.4220821E+02,9.5456566E+02
4.4320878E+02,9.5484642E+02
4.4420936E+02,9.5512947E+02
4.4520994E+02,9.5541756E+02
4.4621051E+02,9.5569954E+02
4.4721109E+02,9.5598267E+02
4.4821167E+02,9.5626228E+02
4.4921224E+02,9.5654022E+02
4.5021282E+02,9.5681656E+02
4.5121339E+02,9.5709511E+02
4.5221397E+02,9.5737198E+02
4.5321455E+02,9.5765160E+02
4.5421512E+02,9.5792801E+02
4.5521571E+02,9.5819908E+02
4.5621628E+02,9.5847618E+02
4.5721685E+02,9.5875114E+02
4.5821743E+02,9.5902626E+02
4.5921801E+02,9.5929962E+02
4.6021858E+02,9.5957947E+02
4.6121916E+02,9.5986038E+02
4.6221973E+02,9.6013908E+02
4.6322031E+02,9.6042137E+02
4.6422089E+02,9.6070122E+02
4.6522147E+02,9.6098488E+02
4.6622204E+02,9.6126022E+02
4.6722262E+02,9.6154984E+02
4.6822319E+02,9.6184692E+02
4.6922377E+02,9.6213638E+02
4.7022475E+02,9.6241867E+02
4.7122492E+02,9.6270111E+02
4.7222550E+02,9.6297859E+02
4.7322607E+02,9.6324356E+02
4.7422665E+02,9.6350769E+02
4.7522723E+02,9.6377472E+02
4.7622780E+02,9.6403923E+02
4.7722838E+02,9.6430275E+02
4.7822895E+02,9.6456512E+02
4.7922953E+02,9.6483780E+02
4.8023011E+02,9.6511650E+02
4.8123068E+02,9.6539986E+02
4.8223126E+02,9.6567535E+02
4.8323192E+02,9.6595497E+02
4.8423242E+02,9.6622452E+02
4.8523299E+02,9.6649536E+02
4.8623357E+02,9.6676514E+02
4.8723414E+02,9.6703796E+02
4.8823472E+02,9.6730515E+02
4.8923529E+02,9.6757553E+02
4.9023588E+02,9.6784485E+02
4.9123645E+02,9.6810898E+02
4.9223703E+02,9.6838120E+02
4.9323760E+02,9.6865868E+02
4.9423818E+02,9.6893959E+02
4.9523875E+02,9.6921761E+02
4.9623933E+02,9.6948830E+02
4.9723991E+02,9.6975952E+02
4.9824048E+02,9.7003334E+02
4.9924106E+02,9.7030579E+02
5.0024164E+02,9.7057732E+02
5.0124221E+02,9.7085831E+02
5.0224279E+02,9.7113709E+02
5.0324336E+02,9.7140579E+02
5.0424394E+02,9.7168442E+02
5.0524451E+02,9.7196236E+02
5.0624539E+02,9.7223824E+02
5.0724567E+02,9.7250862E+02
5.0824625E+02,9.7278091E+02
5.0924682E+02,9.7305031E+02
5.1024740E+02,9.7332207E+02
5.1124797E+02,9.7359337E+02
5.1224855E+02,9.7386658E+02
5.1324913E+02,9.7414055E+02
